"filename", "language", "JavaScript React", "CSS", "XML", "JavaScript", "comment", "blank", "total"
"/Users/nathanielkemmenash/Desktop/VS Code Projects/friends-and-family-reviews/src/restaurantLabel.css", "CSS", 0, 10, 0, 0, 0, 2, 12
"/Users/nathanielkemmenash/Desktop/VS Code Projects/friends-and-family-reviews/src/restaurantLabel.jsx", "JavaScript React", 17, 0, 0, 0, 0, 8, 25
"/Users/nathanielkemmenash/Desktop/VS Code Projects/friends-and-family-reviews/src/viewRestaurant/Review.css", "CSS", 0, 33, 0, 0, 0, 6, 39
"/Users/nathanielkemmenash/Desktop/VS Code Projects/friends-and-family-reviews/src/viewRestaurant/Review.jsx", "JavaScript React", 35, 0, 0, 0, 0, 12, 47
"/Users/nathanielkemmenash/Desktop/VS Code Projects/friends-and-family-reviews/src/viewRestaurant/Reviews.css", "CSS", 0, 25, 0, 0, 0, 6, 31
"/Users/nathanielkemmenash/Desktop/VS Code Projects/friends-and-family-reviews/src/viewRestaurant/Reviews.jsx", "JavaScript React", 45, 0, 0, 0, 0, 15, 60
"/Users/nathanielkemmenash/Desktop/VS Code Projects/friends-and-family-reviews/src/viewRestaurant/addReview.css", "CSS", 0, 28, 0, 0, 0, 4, 32
"/Users/nathanielkemmenash/Desktop/VS Code Projects/friends-and-family-reviews/src/viewRestaurant/addReview.jsx", "JavaScript React", 37, 0, 0, 0, 0, 11, 48
"/Users/nathanielkemmenash/Desktop/VS Code Projects/friends-and-family-reviews/src/viewRestaurant/editReview.css", "CSS", 0, 29, 0, 0, 0, 4, 33
"/Users/nathanielkemmenash/Desktop/VS Code Projects/friends-and-family-reviews/src/viewRestaurant/editReview.jsx", "JavaScript React", 36, 0, 0, 0, 0, 13, 49
"/Users/nathanielkemmenash/Desktop/VS Code Projects/friends-and-family-reviews/src/viewRestaurant/viewRestaurant.css", "CSS", 0, 115, 0, 0, 2, 33, 150
"/Users/nathanielkemmenash/Desktop/VS Code Projects/friends-and-family-reviews/src/viewRestaurant/viewRestaurant.jsx", "JavaScript React", 107, 0, 0, 0, 1, 24, 132
"Total", "-", 1375, 811, 1, 587, 70, 567, 3411
